plate,state,license_type,summons_number,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,issuing_agency,summons_image,violation_time,county,violation_status,issue_date,judgment_entry_date
BLANKPLATE,99,999,8541784496,,0,0,0,0,0,0,000,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FMVVZelJPUkZFMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
BLANKPLATE,99,999,1428665535,MISCELLANEOUS,0,0,0,0,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVOUVXVEpPVkZWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,NY,HEARING HELD-GUILTY,,
BLANKPLATE,99,999,1373139043,NO STANDING-BUS STOP,115,0,0,115,0,0,000,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk0wMTZSWHBQVkVFd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:25A,,,,
BLANKPLATE,99,999,1384820061,NO PARKING-STREET CLEANING,45,0,0,45,0,0,000,DEPARTMENT OF SANITATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5FNUVaM2xOUkVFeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",00:00A,K,,,
GNH2534,NY,PAS,1345442774,NO STANDING-EXC. AUTH. VEHICLE,95,0,0,95,0,0,005,OTHER/UNKNOWN AGENCIES,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1FNVVVVEJOYW1NelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:05A,NY,HEARING HELD-NOT GUILTY,,
BLANKPLATE,99,999,1398441624,NO PARKING-STREET CLEANING,65,0,0,65,0,0,009,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5VOUVVVEJOVkZsNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:17A,,,,
BLANKPLATE,99,999,1353659288,FRONT OR BACK PLATE MISSING,65,0,0,65,0,0,001,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VMTZXVEZQVkVrMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:10P,NY,,,
HKM4486,NY,PAS,1455890583,INSP. STICKER-EXPIRED/MISSING,65,0,0,65,0,0,105,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VNVVaelZOUkZVMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:02A,Q,HEARING HELD-NOT GUILTY,,
GXT8125,NY,PAS,1448708618,REG. STICKER-EXPIRED/MISSING,65,0,0,65,0,0,025,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVZM2RQUkZsNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,
BLANKPLATE,99,999,1492531984,NO STANDING-DAY/TIME LIMITS,115,0,0,115,0,0,115,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMXFWWHBOVkdzMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:02P,,,,
BLANKPLATE,99,999,1476920801,NO STANDING-BUS STOP,115,0,0,115,0,0,017,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNXFhM2xOUkdkM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:36A,NY,,,
HCV3317,NY,PAS,1474347691,NO STANDING-DAY/TIME LIMITS,115,0,0,115,0,0,033,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wNUVUVEJPZWxrMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:55P,NY,HEARING HELD-NOT GUILTY,,
FEN1946,NY,PAS,1485299743,OBSTRUCTING DRIVEWAY,95,0,0,95,0,0,068,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNVVTVFZQVkdNd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:25A,K,HEARING HELD-NOT GUILTY,,
59834,DE,PAS,1387388563,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5FNTZUVFJQUkZVeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,99/02/2015,
462PPX,FL,PAS,1340561499,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1FMUVWVEpOVkZFMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,78/17/2012,
1DZW3111,99,999,8550805798,PEDESTRIAN RAMP,165,10,0,175,0,0,000,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMUVaM2RPVkdNMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:335,K,HEARING HELD-NOT GUILTY,70/40/2000,
1GNN8596,99,999,7966327541,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wck1rNXFUWGxPZWxVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/40/2000,
1TUNAY,99,999,8550805701,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMUVaM2RPVkdOM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/40/2000,
1DUY8173,99,999,8550805713,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMUVaM2RPVkdONFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/40/2000,
1FXH4163,99,999,8550806031,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMUVaM2RPYWtGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/40/2000,
1CRM7564,99,999,8550806134,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMUVaM2RPYWtWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/40/2000,
1GCU4119,99,999,7809519517,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbmQwOVVWWGhQVkZWNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/33/2000,
KGE6141,NY,PAS,1488918090,FIRE HYDRANT,115,30,0,145,0,0,106,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVhM2hQUkVFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:02A,Q,HEARING HELD-NOT GUILTY,70/30/2022,
FYK9365,NY,PAS,1360349327,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1rMUVUVEJQVkUxNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/28/2013,
1GEC1517,99,999,8454028468,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk1VNUVRWGxQUkZFeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/21/2000,
1GTV9374,99,999,8475477458,EXPIRED MUNI METER,35,10,0,0,45,0,000,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNVVVVE5PZWxFeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:315,Q,,70/20/2000,
1HNC6564,99,999,7501890821,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVmQwMVVaelZOUkdkNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/20/2000,
1GHE9994,99,999,8065032760,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1rNVVRWHBOYW1NeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/11/2000,
1ERE3514,99,999,7008334760,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmQwOUVUWHBPUkdNeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,70/10/2000,
DCR631K111,MI,PAS,6020324620,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG1wQmVVMUVUWGxPUkZsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,66/26/2016,
FPE4306,NY,PAS,1314222960,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTmVFNUVTWGxOYW1zeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,66/17/2012,
DTF3779,NY,PAS,1326872199,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTmVVNXFaek5OYWtVMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,65/29/2012,
GCS2833,NY,PAS,1358658031,ANGLE PARKING,45,60,17.88,0.03,122.85,0,041,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VOUVXVEZQUkVGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:41P,BX,,62/21/2014,10/23/2014
1T494351C,99,999,7003945320,NO STANDING-SNOW EMERGENCY,95,10,0,0,0,105,000,PORT AUTHORITY,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmQwMTZhekJPVkUxNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:906,Q,,61/21/2000,
1FBC5976,99,999,8219535477,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFOVVWWHBPVkZFelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/11/2000,
1GUW3253,99,999,8472260940,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMXFTVEpOUkdzd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/10/2000,
133988MC,99,999,7208291688,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSmQwOUVTVFZOVkZrMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/02/2000,
120024JZ,99,999,7208291676,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSmQwOUVTVFZOVkZrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/02/2000,
186572MC,99,999,8248037149,NO STANDING-DAY/TIME LIMITS,115,10,0,125,0,0,000,NYC OFFICE OF THE SHERIFF,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1FOUVRWHBPZWtVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:204,NY,HEARING HELD-NOT GUILTY,61/01/2000,
155432ME,99,999,7268784442,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSk1rOUVZelJPUkZFd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
116090JW,99,999,7268784594,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSk1rOUVZelJPUkZVMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
127197JV,99,999,7268784600,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSk1rOUVZelJPUkZsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
145468MJ,99,999,8248037253,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1FOUVRWHBPZWtreFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
199584MG,99,999,8444517501,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk1FNUVWWGhPZWxWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
129513MD,99,999,8473800576,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMTZaM2ROUkZVelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,61/01/2000,
132017MD,99,999,8368523205,NO STANDING-COMM METER ZONE,115,0,0,0,115,0,000,NYC OFFICE OF THE SHERIFF,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk1rOUVWWGxOZWtsM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:401,NY,,60/92/2000,
159687MC,99,999,8368523084,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk1rOUVWWGxOZWtFMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/92/2000,
1GWM1197,99,999,8368523450,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk1rOUVWWGxOZWxFeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/92/2000,
1HHV6215,99,999,8368523643,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk1rOUVWWGxOZWxrd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/92/2000,
1GBX9722,99,999,8368523692,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk1rOUVWWGxOZWxrMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/92/2000,
124861JY,99,999,8066012184,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1rNXFRWGhOYWtVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/61/2000,
132317MA,99,999,8066011209,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1rNXFRWGhOVkVsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,60/60/2000,
Q077KRD,DP,PAS,1299194023,FRONT OR BACK PLATE MISSING,65,10,0,0,0,75,017,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSSk5VOVVSVFZPUkVGNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:21A,NY,HEARING PENDING,60/28/2011,
2631565,ME,PAS,1358758141,PLTFRM LFTS LWRD POS COMM VEH,45,10,0,0,0,55,047,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VOUVZekZQUkVVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:09P,BX,,52/01/2004,
2DY75G,NJ,PAS,1362720975,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1rMXFZM2xOUkdzelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,51/71/2004,
1GSV4795,99,999,7035456831,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrNVVVVEZPYW1kNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,51/11/2000,
1GZH5975,99,999,7035454196,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrNVVVVEZPUkVVMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,51/03/2000,
1ERH8562,99,999,7390794999,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZelZPUkdzMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/90/2000,
1DNB7904,99,999,8024155795,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVVNUVSVEZPVkdNMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/81/2000,
177026MG,99,999,7390787600,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZelJPZWxsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/72/2000,
1GGT3967,99,999,7771325415,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak0wMVVUWGxPVkZGNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/62/2000,
1CHANEL,99,999,7390772700,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZek5OYW1OM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/42/2000,
1GSA3040,99,999,8033956148,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVrMTZhekZPYWtVd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/40/2000,
1GSR9730,99,999,7441836608,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1FMVVaM3BPYWxsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/31/2000,
1GFN7964,99,999,7731399485,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wamVrMVVUVFZQVkZFMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/30/2000,
1FFT5506,99,999,7390764156,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZekpPUkVVeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,50/30/2000,
ETK2496,NY,PAS,1356925431,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNXFhM2xPVkZGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,46/19/2013,
RHE42L,NJ,PAS,1323616410,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTmVVMTZXWGhPYWxGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,41/17/2011,
1GCG2496,99,999,7390739162,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZM3BQVkVVeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/90/2000,
116SE98,99,999,7390726120,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZM2xPYWtWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/62/2000,
192426MD,99,999,7986206007,NO STANDING-SNOW EMERGENCY,95,10,0,0,65,40,000,SUNY MARITIME COLLEGE,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wck5FNXFTWGRPYWtGM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",0:928,NY,,40/60/2000,
1DTH5521,99,999,7390718602,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk5VMUVZM2hQUkZsM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/51/2000,
1CFD7337,99,999,7577736375,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVk0wNTZZM3BPYWswelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/40/2000,
1ERU9302,99,999,7783159953,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak5FMTZSVEZQVkdzeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/33/2000,
1FPB1898,99,999,7355104780,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk1VNVVSWGRPUkdNMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/32/2000,
473XDM,CT,PAS,1272425060,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSSk0wMXFVWGxPVkVFeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/29/2009,
BEX9448,NC,PAS,1359374528,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VOVVUVE5PUkZWNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,40/15/2013,
79512KA,NY,COM,1361286313,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1rMVVTVFJPYWsxNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,39/22/2012,
FJY2903,NY,PAS,1355236654,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVTWHBPYWxreFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,35/15/2013,
FTB3369,NY,PAS,1322738968,FRONT OR BACK PLATE MISSING,65,60,63.48,0,188.48,0,083,NYS PARKS POLICE,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTmVVMXFZM3BQUkdzeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:39P,K,,33/03/2012,07/12/2012
FXL4242,NY,PAS,1358630100,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VOUVXWHBOUkVWM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,32/51/2004,
K13335K,PA,PAS,1360676480,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1rMUVXVE5PYWxFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,30/10/2014,
GBSPCIAL,NY,PAS,1365570095,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1rNVVWVE5OUkVFMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,30/07/2014,
367727N,NJ,PAS,1355370176,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVUVE5OUkVVelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,29/06/2014,
189YKY,CT,PAS,1355370139,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVUVE5OUkVWNlQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,28/09/2014,
GSP7905,NY,PAS,1355434490,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk1VNVVVWHBPUkZFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,26/10/2014,
